Fertility,Agriculture,Examination,Education,Catholic,Infant.Mortality,Year,Quarter
80.2,17,15,12,9.96,22.2,2000,1
83.1,45.1,6,9,84.84,22.2,2000,2
92.5,39.7,5,5,93.4,20.2,2000,3
85.8,36.5,12,7,33.77,20.3,2000,4
76.9,43.5,17,15,5.16,20.6,2001,1
76.1,35.3,9,7,90.57,26.6,2001,2
83.8,70.2,16,7,92.85,23.6,2001,3
92.4,67.8,14,8,97.16,24.9,2001,4
82.4,53.3,12,7,97.67,21,2002,1
82.9,45.2,16,13,91.38,24.4,2002,2
87.1,64.5,14,6,98.61,24.5,2002,3
64.1,62,21,12,8.52,16.5,2002,4
66.9,67.5,14,7,2.27,19.1,2003,1
68.9,60.7,19,12,4.43,22.7,2003,2
61.7,69.3,22,5,2.82,18.7,2003,3
68.3,72.6,18,2,24.2,21.2,2003,4
71.7,34,17,8,3.3,20,2004,1
55.7,19.4,26,28,12.11,20.2,2004,2
54.3,15.2,31,20,2.15,10.8,2004,3
65.1,73,19,9,2.84,20,2004,4
65.5,59.8,22,10,5.23,18,2005,1
65,55.1,14,3,4.52,22.4,2005,2
56.6,50.9,22,12,15.14,16.7,2005,3
57.4,54.1,20,6,4.2,15.3,2005,4
72.5,71.2,12,1,2.4,21,2006,1
74.2,58.1,14,8,5.23,23.8,2006,2
72,63.5,6,3,2.56,18,2006,3
60.5,60.8,16,10,7.72,16.3,2006,4
58.3,26.8,25,19,18.46,20.9,2007,1
65.4,49.5,15,8,6.1,22.5,2007,2
75.5,85.9,3,2,99.71,15.1,2007,3
69.3,84.9,7,6,99.68,19.8,2007,4
77.3,89.7,5,2,100,18.3,2008,1
70.5,78.2,12,6,98.96,19.4,2008,2
79.4,64.9,7,3,98.22,20.2,2008,3
65,75.9,9,9,99.06,17.8,2008,4
92.2,84.6,3,3,99.46,16.3,2009,1
79.3,63.1,13,13,96.83,18.1,2009,2
70.4,38.4,26,12,5.62,20.3,2009,3
65.7,7.7,29,11,13.79,20.5,2009,4
72.7,16.7,22,13,11.22,18.9,2010,1
64.4,17.6,35,32,16.92,23,2010,2
77.6,37.6,15,7,4.97,20,2010,3
67.6,18.7,25,7,8.65,19.5,2010,4
35,1.2,37,53,42.34,18,2011,1
44.7,46.6,16,29,50.43,18.2,2011,2
42.8,27.7,22,29,58.33,19.3,2011,3
